Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1860-03,-0.79502964,-1.1368849,-0.45317444
1860-04,-0.31373176,-0.54311895,-0.084344566
1860-05,-0.3756272,-0.59100497,-0.1602494
1860-06,-0.21735941,-0.45958385,0.024865033
1860-07,-0.21572113,-0.4374952,0.0060529504
1860-08,-0.14371963,-0.4039401,0.116500854
1860-09,-0.18172796,-0.41165546,0.04819955
1860-10,-0.39777312,-0.608435,-0.18711124
1860-11,-0.6302539,-0.87216085,-0.38834694
1860-12,-0.7995578,-1.0615538,-0.53756183
1861-01,-0.9113761,-1.1967317,-0.62602055
1861-02,-0.6830031,-1.05308,-0.31292626
1861-03,-0.42623413,-0.8318424,-0.02062584
1861-04,-0.3985529,-0.7260863,-0.07101947
1861-05,-0.69920075,-1.0181764,-0.38022506
1861-06,-0.27649724,-0.56228465,0.009290194
1861-07,-0.35598895,-0.6089922,-0.10298564
1861-08,-0.10362699,-0.357724,0.15047003
1861-09,-0.3381186,-0.5799058,-0.09633144
1861-10,-0.51970255,-0.7178138,-0.32159138
1861-11,-0.49057767,-0.73202026,-0.24913506
1861-12,-0.41057742,-0.7213853,-0.09976956
1862-01,-0.8352581,-1.1435834,-0.52693284
1862-02,-0.79966456,-1.1822186,-0.41711056
1862-03,-0.5393793,-0.94119537,-0.13756323
1862-04,-0.53212595,-0.83425164,-0.23000021
1862-05,-0.34873405,-0.6385426,-0.05892552
1862-06,-0.2787717,-0.5277622,-0.029781204
1862-07,-0.36112955,-0.60619336,-0.11606572
1862-08,-0.505085,-0.7708019,-0.239368
1862-09,-0.4005594,-0.6277169,-0.17340189
1862-10,-0.5036456,-0.71735644,-0.2899348
1862-11,-0.6881921,-0.9439682,-0.4324161
1862-12,-0.9026072,-1.2028818,-0.6023326
1863-01,-0.09108002,-0.40090638,0.21874635
1863-02,-0.28872254,-0.7037066,0.12626153
1863-03,-0.41688678,-0.7747007,-0.059072867
1863-04,-0.33578163,-0.6479665,-0.023596764
1863-05,-0.39282563,-0.6740486,-0.111602634
1863-06,-0.41926795,-0.6876011,-0.1509348
1863-07,-0.35745344,-0.64089394,-0.074012905
1863-08,-0.3378318,-0.61757386,-0.05808971
1863-09,-0.40617073,-0.6767348,-0.13560663
1863-10,-0.56303185,-0.8032043,-0.32285938
1863-11,-0.50161904,-0.75255793,-0.25068012
1863-12,-0.5075452,-0.82281387,-0.19227642
1864-01,-0.8275601,-1.1741391,-0.48098108
1864-02,-0.60794914,-1.0391928,-0.17670546
1864-03,-0.5323774,-0.9211246,-0.14363027
1864-04,-0.5578451,-0.88734704,-0.22834314
1864-05,-0.3487787,-0.65000564,-0.04755173
1864-06,-0.11781754,-0.39128038,0.15564528
1864-07,-0.29018924,-0.5628646,-0.017513847
1864-08,-0.34617263,-0.61930317,-0.0730421
1864-09,-0.53009385,-0.7874116,-0.27277613
1864-10,-0.67435795,-0.90154773,-0.44716826
1864-11,-0.49305862,-0.7439569,-0.24216032
1864-12,-0.62986326,-0.93972486,-0.3200017
1865-01,-0.23441012,-0.5580851,0.0892648
1865-02,-0.51596826,-0.97640055,-0.055535987
1865-03,-0.7188876,-1.1493106,-0.28846473
1865-04,-0.546302,-0.87594235,-0.21666174
1865-05,-0.49739897,-0.7926482,-0.20214972
1865-06,-0.25302428,-0.5181835,0.012134918
1865-07,-0.29762185,-0.5748321,-0.02041164
1865-08,-0.2496912,-0.5164705,0.017088087
1865-09,-0.2346773,-0.5031228,0.03376821
1865-10,-0.33109704,-0.5865116,-0.07568247
1865-11,-0.33976448,-0.6005052,-0.079023756
1865-12,-0.5182955,-0.84239215,-0.1941989
1866-01,-0.2358105,-0.56984305,0.09822202
1866-02,-0.4771049,-0.8452224,-0.10898738
1866-03,-0.7516249,-1.1401371,-0.36311266
1866-04,-0.55081517,-0.8778114,-0.22381896
1866-05,-0.60172945,-0.91513145,-0.28832746
1866-06,-0.12936568,-0.40298414,0.14425278
1866-07,-0.053207457,-0.31357446,0.20715953
1866-08,-0.29303753,-0.55747193,-0.02860313
1866-09,-0.463522,-0.7251157,-0.20192824
1866-10,-0.4617047,-0.6861791,-0.23723027
1866-11,-0.36658126,-0.6050943,-0.12806816
1866-12,-0.44764677,-0.7442482,-0.15104535
1867-01,-0.503777,-0.84015244,-0.16740157
1867-02,-0.4085057,-0.82479477,0.007783329
1867-03,-0.7148851,-1.0910715,-0.3386987
1867-04,-0.489798,-0.80954504,-0.17005096
1867-05,-0.61590266,-0.931153,-0.30065227
1867-06,-0.35079968,-0.63198364,-0.069615684
1867-07,-0.2592203,-0.52533716,0.00689653
1867-08,-0.3264764,-0.6058477,-0.047105085
1867-09,-0.19042094,-0.4501132,0.06927135
1867-10,-0.15427487,-0.39000684,0.0814571
1867-11,-0.28937486,-0.5350623,-0.043687418
1867-12,-0.49301112,-0.7800157,-0.20600654
1868-01,-0.7070597,-1.0679886,-0.34613064
1868-02,-0.7119915,-1.1296213,-0.2943617
1868-03,-0.3325934,-0.7184554,0.05326853
1868-04,-0.38353184,-0.6872789,-0.07978472
1868-05,-0.2822406,-0.5905752,0.02609404
1868-06,-0.29603553,-0.5494241,-0.042646937
1868-07,-0.044658177,-0.29003963,0.20072326
1868-08,-0.19272706,-0.45787215,0.07241803
1868-09,-0.37406933,-0.5957095,-0.15242915
1868-10,-0.24260591,-0.4444724,-0.04073941
1868-11,-0.4504439,-0.6993207,-0.20156711
1868-12,-0.33563477,-0.59895796,-0.07231159
1869-01,-0.30816773,-0.60994905,-0.0063863737
1869-02,0.13577136,-0.19351709,0.4650598
1869-03,-0.6531476,-0.98649234,-0.31980282
1869-04,-0.41122085,-0.7091631,-0.11327857
1869-05,-0.3111645,-0.5724121,-0.0499169
1869-06,-0.39609724,-0.6552287,-0.13696583
1869-07,-0.43195438,-0.6757146,-0.18819411
1869-08,-0.17967515,-0.43651724,0.07716696
1869-09,-0.17177965,-0.3804521,0.036892794
1869-10,-0.2937802,-0.4625394,-0.12502103
1869-11,-0.29484507,-0.49278873,-0.09690143
1869-12,-0.52208585,-0.7691245,-0.27504718
1870-01,-0.21907394,-0.4484154,0.010267522
1870-02,-0.45810968,-0.6926457,-0.22357365
1870-03,-0.49599874,-0.76247334,-0.22952412
1870-04,-0.3567454,-0.5975257,-0.11596509
1870-05,-0.30303708,-0.5506214,-0.055452757
1870-06,-0.20680258,-0.43799847,0.024393307
1870-07,-0.08523524,-0.29914528,0.1286748
1870-08,-0.25992602,-0.5161252,-0.0037268314
1870-09,-0.20637906,-0.424455,0.011696877
